latitude,longitude
28.6756748,77.5029900
28.6754442,77.5029592
28.6754500,77.5029002
28.6754300,77.5028814
28.6754371,77.5028264
28.6754595,77.5028304
28.6754606,77.5028103
28.6754830,77.5028144
28.6754842,77.5027781
28.6754630,77.5027728
28.6754700,77.5027097
28.6754924,77.5027138
28.6754995,77.5026856
28.6754795,77.5026802
28.6754818,77.5026601
28.6754595,77.5026588
28.6754642,77.5026025
28.6754924,77.5026038
28.6754912,77.5025756
28.6753936,77.5025609
28.6753889,77.5026051
28.6752430,77.5025756
28.6752359,77.5026051
28.6752135,77.5025958
28.6752029,77.5026440
28.6751429,77.5026306
28.6751335,77.5027285
28.6751053,77.5027339
28.6751065,77.5028264
28.6750853,77.5028291
28.6750770,77.5028868
28.6751453,77.5029793
28.6751747,77.5029847
28.6751747,77.5030236
28.6752947,77.5030464
28.6752959,77.5030611
28.6753183,77.5030745
28.6752983,77.5032690
28.6752594,77.5032569
28.6752465,77.5032931
28.6753253,77.5034178
28.6753630,77.5034192
28.6753759,77.5033374
28.6755489,77.5033736
28.6755548,77.5033199
28.6756195,77.5033280
28.6756254,77.5033146
28.6756112,77.5033039
28.6756206,77.5032489
28.6756371,77.5032475
28.6756395,77.5032261
28.6756548,77.5032180
28.6756701,77.5032180
28.6756701,77.5031992
28.6756501,77.5031899
28.6756571,77.5031389
28.6756807,77.5031429
28.6756842,77.5031121
28.6756654,77.5031054
28.6756642,77.5030853
28.6756512,77.5030812
