latitude,longitude
28.6766147, 77.5033629
28.6765936, 77.5034366
28.6766171, 77.5034460
28.6765665, 77.5036539
28.6765512, 77.5036418
28.6765288, 77.5037343
28.6765088, 77.5037223
28.6764912, 77.5038175
28.6764724, 77.5038175
28.6764559, 77.5039006
28.6764394, 77.5038993
28.6764077, 77.5040468
28.6765712, 77.5041058
28.6765830, 77.5041568
28.6766712, 77.5041823
28.6766995, 77.5040374
28.6767195, 77.5040589
28.6767348, 77.5039556
28.6767559, 77.5039690
28.6767712, 77.5038644
28.6767959, 77.5038778
28.6768124, 77.5037813
28.6768301, 77.5037880
28.6768712, 77.5035935
28.6768948, 77.5036016
28.6768865, 77.5035694
28.6769218, 77.5034380
28.6769407, 77.5034420
28.6769218, 77.5034085
28.6767645, 77.5033632
28.6767686, 77.5033471
28.6766444, 77.5033156
28.6766344, 77.5033598
28.6766174, 77.5033518
