latitude,longitude
28.6774123, 77.4997757
28.6768403, 77.5002386
28.6761411, 77.5008045
28.6760894, 77.5009601
28.6759905, 77.5010030
28.6758838, 77.5013282
28.6757317, 77.5018669
28.6757834, 77.5019364
28.6757996, 77.5020661
28.6758352, 77.5021080
28.6759482, 77.5022583
28.6761871, 77.5024014
28.6761871, 77.5024014
28.6762249, 77.5024229
28.6765883, 77.5026391
28.6769083, 77.5020598
28.6771934, 77.5014145
28.6772283, 77.5013356
28.6777192, 77.5002653
