latitude,longitude
28.6760795, 77.5010572
28.6760706, 77.5010423
28.6762072, 77.5009362
28.6761641, 77.5008616
28.6761831, 77.5008429
28.6761744, 77.5008304
28.6762159, 77.5007928
28.6763203, 77.5009423
28.6763699, 77.5009060
28.6764546, 77.5010562
28.6763223, 77.5011531
28.6763005, 77.5011729
28.6762690, 77.5011276
28.6762533, 77.5011406
28.6762054, 77.5011804
28.6762268, 77.5012180
28.6762015, 77.5012501
28.6762015, 77.5012589
28.6762062, 77.5012723
28.6761997, 77.5012763
28.6762003, 77.5012944
28.6761856, 77.5013172
28.6761921, 77.5013239
28.6761626, 77.5013534
28.6761697, 77.5013628
28.6761428, 77.5013817
28.6761168, 77.5013997
28.6760721, 77.5013527
28.6760585, 77.5013460
28.6760456, 77.5013487
28.6760344, 77.5013239
28.6760344, 77.5012944
28.6760310, 77.5012393
28.6760297, 77.5011824
28.6760320, 77.5011308
28.6760456, 77.5011147
28.6760550, 77.5010812
28.6760795, 77.5010572
