latitude,longitude
28.6751885, 77.5034594
28.6751685, 77.5035962
28.6748756, 77.5035506
28.6748744, 77.5035721
28.6748979, 77.5036190
28.6748320, 77.5036700
28.6747967, 77.5036217
28.6747391, 77.5039570
28.6746026, 77.5039315
28.6746779, 77.5035225
28.6743061, 77.5034514
28.6743378, 77.5032945
28.6746355, 77.5033588
28.6746414, 77.5033280
28.6746167, 77.5032851
28.6746638, 77.5032516
28.6746873, 77.5032878
28.6747096, 77.5032945
28.6747661, 77.5029538
28.6748932, 77.5029793
28.6748321, 77.5033669
28.6748493, 77.5033937
