latitude,longitude
28.6763857, 77.5033559
28.6763404, 77.5033419
28.6763204, 77.5032795
28.6762746, 77.5032641
28.6762687, 77.5032513
28.6761881, 77.5032319
28.6761787, 77.5032426
28.6761645, 77.5032118
28.6761916, 77.5031890
28.6761987, 77.5031675
28.6761798, 77.5031380
28.6762187, 77.5031179
28.6762104, 77.5031005
28.6762304, 77.5030830
28.6762140, 77.5030643
28.6762516, 77.5030321
28.6762422, 77.5030213
28.6762610, 77.5030026
28.6762469, 77.5029717
28.6762846, 77.5029516
28.6762940, 77.5029194
28.6762869, 77.5028913
28.6763128, 77.5028792
28.6763210, 77.5028913
28.6763469, 77.5028671
28.6763952, 77.5029610
28.6763827, 77.5029749
28.6763703, 77.5029702
28.6763638, 77.5029984
28.6763868, 77.5030386
28.6763997, 77.5030882
28.6764062, 77.5031305
28.6764021, 77.5031553
28.6763856, 77.5031969
28.6764041, 77.5032093
28.6764277, 77.5032341
28.6764377, 77.5032562
28.6764365, 77.5032736
28.6764165, 77.5032736
