latitude,longitude
28.6766237, 77.5020910
28.6765084, 77.5020212
28.6764331, 77.5019757
28.6763707, 77.5020615
28.6763331, 77.5020239
28.6763025, 77.5019783
28.6762825, 77.5019019
28.6762896, 77.5018201
28.6763331, 77.5017316
28.6763896, 77.5016806
28.6764366, 77.5016672
28.6765025, 77.5016538
28.6765272, 77.5016565
28.6765519, 77.5016350
28.6765778, 77.5016203
28.6765990, 77.5016243
28.6766261, 77.5016364
28.6766402, 77.5016525
28.6767367, 77.5015733
28.6768026, 77.5016605
28.6769414, 77.5015572
28.6769908, 77.5015841
28.6768367, 77.5018965
28.6766825, 77.5017906
28.6766696, 77.5018134
28.6766519, 77.5018187
28.6766308, 77.5018187
28.6765837, 77.5019166
28.6766578, 77.5020226
28.6766237, 77.5020910
