latitude,longitude
28.6764385, 77.5042202
28.6763950, 77.5043905
28.6763738, 77.5043878
28.6763256, 77.5045662
28.6762809, 77.5045461
28.6762679, 77.5045849
28.6763009, 77.5045957
28.6762550, 77.5047821
28.6762303, 77.5047714
28.6761773, 77.5049739
28.6761314, 77.5049524
28.6760926, 77.5050061
28.6759773, 77.5049564
28.6759903, 77.5049189
28.6759738, 77.5049175
28.6759785, 77.5048867
28.6759185, 77.5048746
28.6759914, 77.5046520
28.6758608, 77.5045836
28.6758785, 77.5045072
28.6757643, 77.5044629
28.6757891, 77.5043677
28.6760350, 77.5044602
28.6760420, 77.5044227
28.6760126, 77.5044079
28.6760644, 77.5042188
28.6760809, 77.5042242
28.6761150, 77.5040914
28.6761526, 77.5041048
28.6761597, 77.5040753
28.6761915, 77.5040861
28.6761997, 77.5040512
28.6762762, 77.5040807
28.6762832, 77.5040565
28.6763115, 77.5040726
28.6763032, 77.5041062
28.6763621, 77.5041196
28.6763515, 77.5041504
28.6763927, 77.5041612
28.6763832, 77.5041920
