latitude,longitude
28.6742277, 77.5030393
28.6741688, 77.5032633
28.6739253, 77.5031922
28.6738676, 77.5032257
28.6738476, 77.5031801
28.6739017, 77.5029159
28.6739665, 77.5029213
28.6739829, 77.5028475
28.6741100, 77.5028744
28.6741147, 77.5029159
28.6741630, 77.5029213
28.6741665, 77.5028878
28.6741382, 77.5028811
28.6741818, 77.5026356
28.6742500, 77.5026410
28.6742571, 77.5025766
28.6743995, 77.5026021
28.6744242, 77.5026504
28.6744453, 77.5026477
28.6744595, 77.5026799
28.6744995, 77.5026920
28.6744971, 77.5027188
28.6744830, 77.5027201
28.6744771, 77.5027537
28.6744936, 77.5027563
28.6744854, 77.5028006
28.6744736, 77.5028033
28.6744653, 77.5028435
28.6744795, 77.5028475
28.6744712, 77.5028931
28.6744583, 77.5028918
28.6744265, 77.5030594
28.6742265, 77.5030138
