latitude,longitude
28.6762362, 77.5020957
28.6761774, 77.5020716
28.6761597, 77.5020340
28.6761503, 77.5020085
28.6761315, 77.5019884
28.6761126, 77.5019683
28.6760926, 77.5019589
28.6760715, 77.5019522
28.6760503, 77.5019415
28.6760244, 77.5019415
28.6760091, 77.5019415
28.6759903, 77.5019187
28.6759762, 77.5019013
28.6759597, 77.5018731
28.6759432, 77.5018409
28.6759373, 77.5018020
28.6759373, 77.5017819
28.6759479, 77.5017470
28.6759620, 77.5017202
28.6759809, 77.5017014
28.6760032, 77.5017283
28.6760338, 77.5017215
28.6760620, 77.5017403
28.6760891, 77.5017510
28.6761221, 77.5017510
28.6761468, 77.5017510
28.6761691, 77.5017350
28.6762009, 77.5017108
28.6762185, 77.5016759
28.6762209, 77.5016344
28.6762221, 77.5015995
28.6762103, 77.5015774
28.6761991, 77.5015821
28.6761750, 77.5015385
28.6761574, 77.5015083
28.6761391, 77.5014909
28.6761150, 77.5014741
28.6760762, 77.5014728
28.6760762, 77.5014238
28.6760468, 77.5014245
28.6760185, 77.5014339
28.6759891, 77.5014453
28.6759685, 77.5014687
28.6759462, 77.5014392
28.6759220, 77.5014560
28.6759067, 77.5014748
28.6758973, 77.5014996
28.6758950, 77.5015311
28.6758950, 77.5015385
28.6758761, 77.5015418
28.6758779, 77.5015767
28.6758673, 77.5016102
28.6758491, 77.5016357
28.6758367, 77.5016491
28.6758226, 77.5016766
28.6758203, 77.5017095
28.6758208, 77.5017403
28.6758797, 77.5017383
28.6759014, 77.5017806
28.6758979, 77.5017960
28.6758656, 77.5018282
28.6758450, 77.5018510
28.6758250, 77.5018798
28.6758232, 77.5019033
28.6758232, 77.5019355
28.6758638, 77.5019355
28.6758685, 77.5019636
28.6758650, 77.5019871
28.6758732, 77.5020112
28.6758832, 77.5020280
28.6758956, 77.5020494
28.6759073, 77.5020602
28.6759362, 77.5020246
28.6759673, 77.5020716
28.6759744, 77.5020702
28.6759926, 77.5020937
28.6759850, 77.5021118
28.6760062, 77.5021433
28.6760309, 77.5021722
28.6760556, 77.5021822
28.6760603, 77.5021923
28.6760909, 77.5021923
28.6761326, 77.5022513
28.6761574, 77.5022379
28.6762021, 77.5022439
28.6762015, 77.5022110
28.6762321, 77.5022097
28.6762362, 77.5020957











































































